epoch,binary_accuracy,boundary_f1,dice_coef,hausdorff_distance,jaccard_coef,learning_rate,loss,mcc,precision,recall,val_binary_accuracy,val_boundary_f1,val_dice_coef,val_hausdorff_distance,val_jaccard_coef,val_loss,val_mcc,val_precision,val_recall
0,0.8927138447761536,6.964323997497559,0.7652468085289001,1.0000003576278687,0.6368871331214905,9.999999747378752e-05,0.652141809463501,0.7852559089660645,0.8647019267082214,0.8999718427658081,0.9525296092033386,7.535973072052002,0.9246625304222107,1.000001072883606,0.8601025342941284,0.2503553628921509,0.8792921900749207,0.9334039092063904,0.9705599546432495
1,0.9664492607116699,7.653165340423584,0.9387837648391724,1.000000238418579,0.8853355050086975,9.999999747378752e-05,0.18491919338703156,0.9329864978790283,0.9460102915763855,0.9806489944458008,0.9751875400543213,7.660541534423828,0.9495603442192078,1.000001072883606,0.9044764041900635,0.1493421196937561,0.9139480590820312,0.9709327816963196,0.9776862859725952
2,0.976482629776001,7.733769416809082,0.9607787132263184,1.0000003576278687,0.9246274828910828,9.999999747378752e-05,0.12094708532094955,0.9521926045417786,0.9627969861030579,0.9852782487869263,0.9760220050811768,7.670071601867676,0.9577145576477051,1.000001072883606,0.9193840026855469,0.12904056906700134,0.9169114232063293,0.9723369479179382,0.9779752492904663
3,0.9785536527633667,7.750074863433838,0.9656787514686584,1.000000238418579,0.9337109923362732,9.999999747378752e-05,0.10524005442857742,0.9567338228225708,0.9645739197731018,0.9881473779678345,0.9765371680259705,7.68124532699585,0.9597381353378296,1.000001072883606,0.9230480790138245,0.1294005811214447,0.921164870262146,0.9765167832374573,0.9746612906455994
4,0.9794736504554749,7.75748872756958,0.9687902331352234,1.000000238418579,0.9394997954368591,9.999999747378752e-05,0.09860099107027054,0.9585860371589661,0.967059314250946,0.9875596761703491,0.9775543212890625,7.689749717712402,0.9616235494613647,1.000001072883606,0.926538348197937,0.1235072910785675,0.9240871667861938,0.9775026440620422,0.975795328617096
5,0.980197548866272,7.761641025543213,0.9702919125556946,1.0000004768371582,0.9423173666000366,9.999999747378752e-05,0.09436041861772537,0.9598557353019714,0.9682145118713379,0.9879799485206604,0.9780910015106201,7.696626663208008,0.9639250636100769,1.000001072883606,0.9308159947395325,0.11992253363132477,0.9264437556266785,0.9783710837364197,0.9760300517082214
6,0.9807934761047363,7.764949798583984,0.9715542197227478,1.0000003576278687,0.944728434085846,9.999999747378752e-05,0.09213424474000931,0.9610814452171326,0.9699140787124634,0.9875158071517944,0.9790592789649963,7.703386306762695,0.9656527638435364,1.000001072883606,0.9340640306472778,0.10875842720270157,0.9285995960235596,0.9756425023078918,0.9809561371803284
7,0.981240451335907,7.76902437210083,0.9723830819129944,1.0000003576278687,0.9462926983833313,9.999999747378752e-05,0.09015226364135742,0.9621393084526062,0.9707368612289429,0.9876601696014404,0.9790908694267273,7.700346946716309,0.966302752494812,1.000001072883606,0.9353390336036682,0.10297439247369766,0.9273884296417236,0.9724991321563721,0.9843681454658508
8,0.9810517430305481,7.767812728881836,0.9727941751480103,1.000000238418579,0.9470634460449219,9.999999747378752e-05,0.08926960825920105,0.9616618156433105,0.969550371170044,0.9885085225105286,0.9793409705162048,7.695766448974609,0.9652110934257507,1.000001072883606,0.9333392381668091,0.10593762248754501,0.9257821440696716,0.9752840995788574,0.9819360375404358
9,0.9819415211677551,7.7731828689575195,0.9737045168876648,1.0000003576278687,0.9487977027893066,9.999999747378752e-05,0.08610998094081879,0.9634535908699036,0.9718210101127625,0.9881124496459961,0.9801547527313232,7.710651397705078,0.9676303267478943,1.000001072883606,0.9377654790878296,0.10224436968564987,0.9311152696609497,0.9775459170341492,0.9812831878662109
10,0.9823424220085144,7.776589870452881,0.974428653717041,1.0000003576278687,0.9501712918281555,9.999999747378752e-05,0.08357034623622894,0.9642798900604248,0.9720017313957214,0.9888444542884827,0.9801176190376282,7.705638885498047,0.9671103358268738,1.000001072883606,0.9368469715118408,0.10301532596349716,0.9293098449707031,0.9770909547805786,0.9816828966140747
11,0.9825878739356995,7.775397777557373,0.9745678305625916,1.0000003576278687,0.9504806399345398,9.999999747378752e-05,0.08321397006511688,0.9646220803260803,0.972508430480957,0.9888656735420227,0.9795594811439514,7.69697380065918,0.9672501087188721,1.000001072883606,0.9372316598892212,0.09774862229824066,0.9260269403457642,0.9696868062019348,0.9884040951728821
12,0.9828819632530212,7.7768473625183105,0.9749454855918884,1.0000004768371582,0.9511758685112,9.999999747378752e-05,0.08181554824113846,0.9650079011917114,0.9731271266937256,0.988879919052124,0.981350839138031,7.725378036499023,0.9703496694564819,1.000001072883606,0.9428247213363647,0.09220517426729202,0.9363299012184143,0.9765867590904236,0.9848411083221436
13,0.9833096265792847,7.782400608062744,0.9758726358413696,1.0000003576278687,0.9529427886009216,9.999999747378752e-05,0.0794159397482872,0.9661545157432556,0.9739280343055725,0.9890077114105225,0.9806718230247498,7.70767068862915,0.9684561491012573,1.000001072883606,0.9394432902336121,0.09496764093637466,0.9297416806221008,0.9732092618942261,0.986988365650177
14,0.9829180836677551,7.779311180114746,0.975632905960083,1.0000003576278687,0.9524430632591248,9.999999747378752e-05,0.0815480425953865,0.9652184844017029,0.9731993079185486,0.9888859987258911,0.9800479412078857,7.703846454620361,0.9671913385391235,1.000001072883606,0.9370291233062744,0.10956872999668121,0.9285570979118347,0.9799091219902039,0.9785849452018738
15,0.9826831817626953,7.775245189666748,0.9751682281494141,1.0000003576278687,0.9515873789787292,9.999999747378752e-05,0.08281709253787994,0.964728593826294,0.9727438688278198,0.9888328909873962,0.9813224673271179,7.722786903381348,0.9705025553703308,1.000001072883606,0.9431375861167908,0.09259898215532303,0.9356162548065186,0.9765170216560364,0.9848544597625732
16,0.9837987422943115,7.786401748657227,0.9766731262207031,1.0000003576278687,0.954431414604187,9.999999747378752e-05,0.07749143242835999,0.9671534299850464,0.9751847982406616,0.9887914657592773,0.9815189838409424,7.718021392822266,0.9700800180435181,1.000001072883606,0.9424291849136353,0.08821040391921997,0.9336013793945312,0.9737749695777893,0.9881928563117981
17,0.9839770793914795,7.7863922119140625,0.9768635630607605,1.0000003576278687,0.9548266530036926,9.999999747378752e-05,0.0763724148273468,0.9675381183624268,0.9749611020088196,0.9894411563873291,0.9813023209571838,7.715768337249756,0.9701833724975586,1.000001072883606,0.9426363706588745,0.08722522109746933,0.932868242263794,0.9719629883766174,0.9896770715713501
18,0.9842520356178284,7.787045955657959,0.9771313071250916,1.0000003576278687,0.9553341865539551,9.999999747378752e-05,0.07545115053653717,0.9679183959960938,0.9756326079368591,0.9893577694892883,0.9819668531417847,7.725309371948242,0.9714658260345459,1.000001072883606,0.9449737668037415,0.08813115954399109,0.9363641738891602,0.975712239742279,0.9870812892913818
19,0.9843271970748901,7.789527416229248,0.9776915311813354,1.0000003576278687,0.9563921093940735,9.999999747378752e-05,0.07406570762395859,0.968164324760437,0.9753158092498779,0.9898689985275269,0.9824171662330627,7.7319488525390625,0.9721512794494629,1.000001072883606,0.9462249279022217,0.08652816712856293,0.9389584064483643,0.9771421551704407,0.9865239262580872
20,0.9845327734947205,7.789943695068359,0.9778320789337158,1.0000003576278687,0.9566477537155151,9.999999747378752e-05,0.07384435832500458,0.9685696959495544,0.9762277007102966,0.9893703460693359,0.9827975630760193,7.734896183013916,0.9725574254989624,1.000001072883606,0.9469928741455078,0.08400683104991913,0.9399639964103699,0.9772826433181763,0.9871850609779358
21,0.9844184517860413,7.789546966552734,0.9778618812561035,1.0000003576278687,0.9567020535469055,9.999999747378752e-05,0.07382495701313019,0.9683438539505005,0.9757047891616821,0.9896638989448547,0.9830470085144043,7.743282318115234,0.9735206961631775,1.000001072883606,0.9487393498420715,0.08248383551836014,0.9430269002914429,0.9777030348777771,0.9872713088989258
22,0.9846898317337036,7.790485382080078,0.9778947234153748,1.0000004768371582,0.9567862153053284,9.999999747378752e-05,0.07325200736522675,0.9689050912857056,0.9763296246528625,0.9896232485771179,0.9827362298965454,7.733304977416992,0.9724187254905701,1.000001072883606,0.9467473030090332,0.08555837720632553,0.9392209053039551,0.977729320526123,0.986582338809967
23,0.9847347736358643,7.791200160980225,0.9782509803771973,1.0000003576278687,0.9574583172798157,9.999999747378752e-05,0.07246842235326767,0.9690349102020264,0.9763333797454834,0.989722728729248,0.9827577471733093,7.735346794128418,0.9728645086288452,1.000001072883606,0.9475654363632202,0.08211042732000351,0.9401506185531616,0.9757069945335388,0.9887730479240417
24,0.9848939776420593,7.793212890625,0.9784277081489563,1.000000238418579,0.9577895998954773,9.999999747378752e-05,0.0717761293053627,0.969496488571167,0.9764629602432251,0.9899511933326721,0.9822215437889099,7.730922222137451,0.9724581837654114,1.000001072883606,0.9468106627464294,0.08334615081548691,0.9384946823120117,0.9734624028205872,0.9900292158126831
25,0.9850088357925415,7.793262004852295,0.9786146283149719,1.0000003576278687,0.9581509828567505,9.999999747378752e-05,0.07143529504537582,0.9694226980209351,0.9769185185432434,0.9897308349609375,0.9822157025337219,7.725783824920654,0.9718637466430664,1.000001072883606,0.9457532167434692,0.08445160835981369,0.9366196393966675,0.9738948941230774,0.9895527362823486
26,0.9850790500640869,7.793997287750244,0.9786356091499329,1.0000003576278687,0.9582050442695618,9.999999747378752e-05,0.0711519867181778,0.9697694182395935,0.9769143462181091,0.9898967146873474,0.9823471307754517,7.725936412811279,0.9718064069747925,1.000001072883606,0.9456549286842346,0.08588535338640213,0.9365924596786499,0.9751999974250793,0.9884377121925354
27,0.9851006865501404,7.792104721069336,0.978626549243927,1.0000003576278687,0.9581782817840576,4.999999873689376e-05,0.07029547542333603,0.9694065451622009,0.9766108989715576,0.9902691841125488,0.983340322971344,7.739026069641113,0.9733486771583557,1.000001072883606,0.9484856128692627,0.08136297017335892,0.9415133595466614,0.9781506061553955,0.9874222874641418
28,0.9854026436805725,7.795393943786621,0.9789949655532837,1.0000003576278687,0.9588853716850281,4.999999873689376e-05,0.06938520073890686,0.9702010154724121,0.9774726629257202,0.9900479912757874,0.9833447337150574,7.741161823272705,0.9736778736114502,1.000001072883606,0.9490844011306763,0.08069803565740585,0.942232608795166,0.9774001240730286,0.9882251620292664
29,0.9855608940124512,7.798434734344482,0.9794389605522156,1.0000003576278687,0.9597259163856506,4.999999873689376e-05,0.06860396265983582,0.97078937292099,0.97791987657547,0.9899373650550842,0.9830769300460815,7.737253665924072,0.9733258485794067,1.000001072883606,0.9484435319900513,0.08075644820928574,0.9409125447273254,0.9762064218521118,0.9889218211174011
